s1	1	37	37
s7	6	37	37
s8	7	43	46
s10	9	44	37
s13	7	46	37
s14	6	47	37
s17	1	46	37
s19	11	37	37
s23	9	46	37
s24	6	37	37
s25	9	46	63
s27	9	46	61
s28	9	37	37
s29	12	51	37
s30	11	37	37
s31	7	43	46
s36	7	46	56
s37	14	44	46
s39	14	44	37
s42	14	54	44
s43	7	55	56
s44	14	55	56
s45	14	55	56
s46	1	37	37
s47	14	37	37
s49	7	56	37
s52	14	57	46
s53	14	57	46
s54	14	57	46
s55	14	57	46
s57	14	57	46
s58	14	57	46
s59	14	57	46
s60	14	57	46
s61	14	57	46
s62	14	57	46
s63	14	57	46
s64	14	57	46
s65	6	37	37
s69	1	46	60
s72	6	37	37
s74	7	46	37
s76	6	37	37
s78	6	47	37
s79	9	44	46
s80	9	44	46
s81	6	37	37
s82	14	37	37
s85	14	47	44
s87	17	56	37
s89	1	60	37
s91	18	56	37
s92	1	46	37
s94	7	46	63
s95	6	47	37
s97	1	61	37
s102	1	60	37
s104	7	46	56
s106	14	47	44
s108	6	44	37
s113	7	37	37
s114	9	63	37
s115	7	46	56
s116	7	63	37
s117	9	44	43
s118	1	37	37
s119	7	46	56
s120	7	46	63
s123	11	37	37
s127	7	46	63
s128	6	47	37
s129	7	46	56
s130	7	37	37
s131	6	61	37
s132	14	54	64
s134	14	51	37
s135	14	44	37
s136	14	37	37
s137	7	63	37
s138	14	47	37
s139	7	63	37
s140	19	47	44
s141	7	46	56
s142	14	37	37
s143	7	37	37
s144	14	51	37
s145	9	64	37
s146	9	64	61
s147	9	61	37
s150	14	47	37
s151	11	37	37
s152	14	46	37
s153	9	37	37
s156	14	65	64
s157	9	44	63
s158	18	56	37
s159	9	63	37
s160	9	44	46
s162	9	64	51
s163	7	37	37
s164	9	63	37
s165	14	47	37
s167	19	44	37
s168	6	47	37
s169	14	65	47
s170	14	44	37
s171	1	61	37
s172	7	66	37
s173	9	61	37
s174	1	67	37
s175	14	44	37
s176	7	63	37
s177	14	47	37
s178	14	54	37
s179	14	47	37
s180	9	63	37
s181	9	63	37
s183	9	37	37
s184	14	54	37
s186	1	60	37
s189	9	46	37
s191	7	46	37
s192	7	43	37
s193	14	47	46
s196	9	44	46
s197	9	63	37
s200	9	44	46
s201	14	55	46
s202	7	46	56
s203	9	46	61
s204	9	46	37
s205	9	46	37
s206	9	46	51
s207	7	43	46
s208	14	46	61
s209	7	46	61
s210	7	46	61
s211	12	46	37
s212	12	46	37
s215	14	46	37
s216	14	44	46
s217	9	44	43
s218	9	44	46
s222	1	37	37
s228	7	43	63
s229	14	37	37
s230	12	37	37
s231	1	60	37
s232	6	44	37
s234	1	61	37
s236	1	67	60
s237	12	46	56
s238	12	46	56
s239	12	46	56
s240	12	46	56
s241	14	57	37
s245	7	46	56
s247	7	46	63
s248	14	44	37
s250	6	47	61
s251	7	46	63
s252	7	43	63
s253	17	56	37
s254	7	46	63
s256	1	46	37
s257	7	46	37
s258	7	46	63
s259	9	44	46
s260	9	44	46
s262	9	46	63
s263	1	67	60
s265	9	43	37
s268	19	44	43
s269	7	46	37
s271	14	37	37
s279	21	37	37
s280	14	57	65
s282	9	46	37
s283	7	43	46
s284	1	46	37
s285	9	63	37
s286	7	46	37
s291	1	60	37
s293	9	44	43
s294	9	46	63
s295	17	61	37
s296	14	47	37
s299	9	44	46
s300	12	43	46
s301	6	61	37
s302	14	47	46
s303	1	46	37
s304	9	64	46
s305	1	37	37
s306	19	44	46
s307	7	46	37
s308	12	37	37
s309	23	37	37
s315	7	43	63
s316	7	46	37
s318	1	67	37
s319	1	46	37
s326	6	47	37
s327	6	47	37
s328	14	51	37
s329	14	37	37
s330	7	37	37
s331	6	47	51
s333	14	55	51
s334	19	47	64
s335	7	63	37
s336	7	56	37
s338	9	63	37
s340	7	43	46
s341	14	51	56
s342	7	43	37
s343	9	37	37
s344	7	37	37
s345	6	47	44
s346	6	47	37
s347	14	47	37
s348	6	47	51
s349	9	37	37
s350	7	60	37
s351	14	44	51
s352	14	47	64
s353	9	44	37
s354	12	37	37
s355	14	47	37
s356	7	56	37
s357	14	37	37
s358	7	43	56
s359	11	37	37
s360	21	37	37
s361	9	63	37
s363	7	46	37
s364	14	46	56
s366	7	43	46
